Title,Title (Japanese),Year,Rotten Tomato,IMDB Score,US Video,US Audio,CA Video,CA Audio,MX Video,MX Audio,JP Video,JP Audio,KR Video,KR Audio,HK Video,HK Audio,TW Video,TW Audio,SG Video,SG Audio,TH Video,TH Audio,MY Video,MY Audio,PH Video,PH Audio,ID Video,ID Audio,IN Video,IN Audio,GB Video,GB Audio,DE Video,DE Audio,FR Video,FR Audio,IT Video,IT Audio,ES Video,ES Audio,PT Video,PT Audio,NL Video,NL Audio,BE Video,BE Audio,IE Video,IE Audio,AT Video,AT Audio,CH Video,CH Audio,SE Video,SE Audio,DK Video,DK Audio,NO Video,NO Audio,FI Video,FI Audio,PL Video,PL Audio,CZ Video,CZ Audio,HU Video,HU Audio,RO Video,RO Audio,AU Video,AU Audio,NZ Video,NZ Audio,BR Video,BR Audio,AR Video,AR Audio,CL Video,CL Audio,CO Video,CO Audio,TR Video,TR Audio,AE Video,AE Audio,SA Video,SA Audio,IL Video,IL Audio,ZA Video,ZA Audio
"""Wuthering Heights""",嵐が丘,,58,6.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#Home,,2021,,8.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#Missingcouple,#MissingCouple,2024,,5.3,Dolby Vision,Stereo,Dolby Vision,Stereo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Dolby Vision,Stereo,-,-,-,-,Dolby Vision,Stereo,-,-,-,-,-,-,-,-,Dolby Vision,Stereo,-,-,-,-,Dolby Vision,Stereo,-,-,-,-,Dolby Vision,Stereo,Dolby Vision,Stereo,Dolby Vision,Stereo,Dolby Vision,Stereo,Dolby Vision,Stereo,Dolby Vision,Stereo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Dolby Vision,Stereo,-,-
#Single,,2025,,6.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
'Twas the Fight Before Christmas,,2021,100,6.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
(500) Days of Summer,,2009,86,7.6,SDR,Stereo,SDR,Stereo,-,-,SDR,Stereo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SDR,Stereo,SDR,Stereo,SDR,Stereo,SDR,Stereo,-,-,SDR,Stereo,SDR,Stereo,SDR,Stereo,SDR,Stereo,SDR,Stereo,SDR,Stereo,SDR,Stereo,SDR,Stereo,SDR,Stereo,SDR,Stereo,SDR,Stereo,SDR,Stereo,SDR,Stereo,-,-,SDR,Stereo,SDR,Stereo,-,-,-,-,-,-,-,-,SDR,Stereo,SDR,Stereo,SDR,Stereo,SDR,Stereo,SDR,Stereo
(Un)lucky Sisters,,2024,,5.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1 Million Followers,,2024,,4.5,Dolby Vision,Stereo,Dolby Vision,Stereo,SDR,Stereo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Dolby Vision,Stereo,Dolby Vision,Stereo,-,-,-,-,-,-,-,-,-,-,-,-,Dolby Vision,Stereo,Dolby Vision,Stereo,Dolby Vision,Stereo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SDR,Stereo,SDR,Stereo,SDR,Stereo,SDR,Stereo,SDR,Stereo,SDR,Stereo,-,-,-,-,-,-,-,-,SDR,Stereo
1 Night in San Diego,,2020,,,Dolby Vision,Stereo,Dolby Vision,Stereo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Dolby Vision,Stereo,-,-,-,-,Dolby Vision,Stereo,-,-,-,-,-,-,-,-,Dolby Vision,Stereo,-,-,Dolby Vision,Stereo,Dolby Vision,Stereo,-,-,-,-,Dolby Vision,Stereo,Dolby Vision,Stereo,Dolby Vision,Stereo,Dolby Vision,Stereo,Dolby Vision,Stereo,Dolby Vision,Stereo,Dolby Vision,Stereo,-,-,Dolby Vision,Stereo,Dolby Vision,Stereo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Dolby Vision,Stereo,Dolby Vision,Stereo
1-800-Hot-Nite,1-800夜间热线,2023,90,5.5,SDR,Stereo,SDR,Stereo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Dolby Vision,Stereo,Dolby Vision,Stereo,Dolby Vision,Stereo,-,-,-,-,-,-,-,-,-,-,Dolby Vision,Stereo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10 Cloverfield Lane,10 クローバーフィールド・レーン,2016,91,7.2,Dolby Vision,Atmos,Dolby Vision,Atmos,Dolby Vision,Atmos,Dolby Vision,Atmos,-,-,Dolby Vision,Atmos,Dolby Vision,Atmos,Dolby Vision,Atmos,Dolby Vision,Atmos,Dolby Vision,Atmos,Dolby Vision,Atmos,Dolby Vision,Atmos,Dolby Vision,Atmos,Dolby Vision,Atmos,Dolby Vision,Atmos,Dolby Vision,Atmos,Dolby Vision,Atmos,Dolby Vision,Atmos,Dolby Vision,Atmos,Dolby Vision,Atmos,Dolby Vision,Atmos,Dolby Vision,Atmos,Dolby Vision,Atmos,Dolby Vision,Atmos,Dolby Vision,Atmos,Dolby Vision,Atmos,Dolby Vision,Atmos,Dolby Vision,Atmos,Dolby Vision,Atmos,Dolby Vision,Atmos,Dolby Vision,Atmos,-,-,Dolby Vision,Atmos,Dolby Vision,Atmos,Dolby Vision,Atmos,Dolby Vision,Atmos,Dolby Vision,Atmos,Dolby Vision,Atmos,Dolby Vision,Atmos,Dolby Vision,Atmos,Dolby Vision,Atmos,Dolby Vision,Atmos,Dolby Vision,Atmos
10 Dance,,2025,,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10 Days of a Bad Man,,2023,,6.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10 Days with Dad,,2020,,5.5,SDR,Stereo,SDR,Stereo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SDR,Stereo,SDR,Stereo,Dolby Vision,Stereo,SDR,Stereo,-,-,-,-,-,-,SDR,Stereo,SDR,Stereo,SDR,Stereo,Dolby Vision,Stereo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SDR,Stereo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
