Title,Title (Japanese),Year,IMDB,Rotten Tomato,4K Countries
10 Minutes Gone,10ミニッツ,2019,3.7,,US
11 Rebels,十一人の賊軍,2025,,90,"US, CA"
11 no Zokugun,十一人の賊軍,2024,6.2,90,"US, CA"
12 Strong,ホース・ソルジャー,2018,6.5,50,"US, CA"
13th and Pine,,2022,,,"US, CA"
14 Cameras,,2018,4.7,22,"US, CA, TH, PH, IE, IL"
2 Guns,2ガンズ,2013,6.7,64,US
20 Days In Mariupol,マリウポリの20日間,2023,8.6,100,"FR, AU, NZ"
2002,,2001,6,,"US, CA, HK, TW, SG, MY, PH, ID, GB, IE, AU, NZ"
2012,,2009,5.9,40,"US, CA, HK, TW, SG, TH, MY, PH, ID, GB, DE, FR, IT, ES, NL, BE, IE, AT, CH, SE, DK, NO, FI, PL, CZ, HU, AU, NZ, TR, AE, SA, IL, ZA"
21 Bridges,２１ブリッジ,2019,6.7,55,"US, CA, MX, HK, SG, GB, ES, IE, CH, SE, DK, NO, FI, AU, NZ, BR, AR, CL, CO"
21 Jump Street,21ジャンプストリート,2012,7.2,85,"AE, SA"
22 Jump Street,22ジャンプストリート,2014,7,84,"US, MX, HK, TW, TH, PH, ID, GB, DE, FR, IT, ES, PT, NL, BE, IE, AT, CH, SE, DK, NO, FI, PL, CZ, HU, AU, NZ, BR, AR, CL, CO, TR, IL, ZA"
28 Years Later,28年後...,2025,6.6,88,"US, MY, ID, HU"
2:22,2：22,2017,5.7,20,US
3 from Hell,スリー・フロム・ヘル,2019,5.4,58,"US, CA, HK, TW, SG, TH, MY, PH, ID, GB, IT, ES, PT, NL, BE, IE, SE, DK, NO, FI, PL, CZ, HU, NZ, TR, AE, SA, ZA"
30 Days Max,,2020,5.5,,"DE, FR, AT, CH"
47 Meters Down: Uncaged,海底47m 古代マヤの死の迷宮,2019,5,44,"US, CA, MX, AU, NZ, BR, AR, CL, CO"
5 Days on the Pile,,2024,,,"US, CA, GB, DE, FR, BE, AT, CH"
57 Seconds,,2023,5.4,13,"DE, AT, SE, DK, NO, FI"
7 Days In Entebbe,エンテベ空港の7日間,2018,5.9,24,"US, CA, GB, IE, AU, NZ"
92 Legendary La Rose Noire,92黑玫瑰對黑玫瑰,1992,,,"US, CA, HK, TW, SG, MY, PH, ID, GB, IE, AU, NZ"
A Beautiful Mind,ビューティフル・マインド,2001,8.2,74,"US, CA"
A Brighter Tomorrow,,2023,6.7,54,IT
A Chinese Ghost Story,チャイニーズ・ゴースト・ストーリー,1987,7.4,,"US, CA"
A Christmas Gift from Bob,,2020,,79,"US, GB, IE"
A Clockwork Orange,時計じかけのオレンジ,1971,8.2,86,"US, CA, MX, HK, TW, TH, MY, PH, GB, DE, FR, IT, ES, PT, NL, BE, IE, AT, CH, SE, DK, NO, FI, PL, CZ, HU, AU, NZ, BR, AR, CL, CO, AE, SA, IL, ZA"
A Conspiracy of Faith,,2016,7,100,"SE, DK, NO, FI"
A Different Man,顔を捨てた男,2024,6.9,93,"US, SG, MY, PH, GB, DE, IT, IE, AT, CH, HU, TR, IL, ZA"
A Dog's Journey,僕のワンダフル・ジャーニー,2019,7.5,53,"US, CA"
A Few Good Men,ア・フュー・グッドメン,1992,7.7,85,"US, CA, HK, TW, SG, TH, MY, PH, ID, GB, DE, FR, IT, ES, NL, BE, IE, AT, CH, SE, DK, NO, FI, PL, CZ, HU, AU, NZ, BR, TR, AE, SA, IL, ZA"
A Hero,,2021,7.5,97,"SE, DK, NO"
A Knight's Tale,ROCK YOU！ [ロック・ユー！],2001,7,59,"US, CA, HK, TW, SG, TH, MY, PH, ID, IN, GB, DE, FR, IT, ES, NL, BE, IE, AT, CH, SE, DK, NO, FI, PL, CZ, HU, AU, IL, ZA"
